2025-04-28 18:42:50.226 +02:00 [INF] Beginnig to create parsing structure matching...
2025-04-28 18:42:50.663 +02:00 [INF] Read all structure defining ontology graphs.
2025-04-28 18:42:50.667 +02:00 [INF] Merging all input graphs...
2025-04-28 18:42:50.722 +02:00 [INF] Creating owl inheritance tree from merged graphs...
2025-04-28 18:42:52.670 +02:00 [INF] Dynamically created owl class tree
2025-04-28 18:42:52.670 +02:00 [INF] Creating c# class inheritance tree from classes known to the assembly...
2025-04-28 18:42:52.908 +02:00 [INF] Dynamically created c# class tree
2025-04-28 18:42:52.951 +02:00 [INF] ##########################################
2025-04-28 18:42:52.951 +02:00 [INF] Created parsing structure for owl classes.
2025-04-28 18:42:52.952 +02:00 [INF] 91 classes could be mapped correctly
2025-04-28 18:42:52.952 +02:00 [INF] 50 were not mapped correctly
2025-04-28 18:42:52.952 +02:00 [INF] ##########################################
2025-04-28 18:42:52.970 +02:00 [WRN] Could not map AbstractSingleSubject correctly, mapped with SingleSubject instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map StartSubject correctly, mapped with Subject instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map AbstractSubject correctly, mapped with Subject instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map DynamicSubjectExecutionMapping correctly, mapped with SubjectExecutionMapping instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map StaticSubjectExecutionMapping correctly, mapped with SubjectExecutionMapping instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map BiDirectionalCommunicationChannel correctly, mapped with CommunicationChannel instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map UniDirectionalCommunicationChannel correctly, mapped with CommunicationChannel instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map AbstractLayer correctly, mapped with ModelLayer instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map BaseLayer correctly, mapped with ModelLayer instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map ExtensionLayer correctly, mapped with ModelLayer instead
2025-04-28 18:42:52.971 +02:00 [WRN] Could not map GuardLayer correctly, mapped with ModelLayer instead
2025-04-28 18:42:52.972 +02:00 [WRN] Could not map MacroLayer correctly, mapped with ModelLayer instead
2025-04-28 18:42:52.972 +02:00 [INF] Finished class mapping
2025-04-28 18:42:53.049 +02:00 [INF] Done reading the new File: C:\Users\ayman\Source\Repos\Projektseminar\TestOfAlpsNetApi_2019\bin\Debug\PASS_Files\Models\Urlaubsantrag_Discord_Uebung.owl
