2025-05-22 12:46:16.513 +02:00 [INF] Beginnig to create parsing structure matching...
2025-05-22 12:46:16.828 +02:00 [INF] Read all structure defining ontology graphs.
2025-05-22 12:46:16.830 +02:00 [INF] Merging all input graphs...
2025-05-22 12:46:16.881 +02:00 [INF] Creating owl inheritance tree from merged graphs...
2025-05-22 12:46:19.475 +02:00 [INF] Dynamically created owl class tree
2025-05-22 12:46:19.475 +02:00 [INF] Creating c# class inheritance tree from classes known to the assembly...
2025-05-22 12:46:19.634 +02:00 [INF] Dynamically created c# class tree
2025-05-22 12:46:19.685 +02:00 [INF] ##########################################
2025-05-22 12:46:19.685 +02:00 [INF] Created parsing structure for owl classes.
2025-05-22 12:46:19.695 +02:00 [INF] 91 classes could be mapped correctly
2025-05-22 12:46:19.695 +02:00 [INF] 50 were not mapped correctly
2025-05-22 12:46:19.695 +02:00 [INF] ##########################################
2025-05-22 12:46:19.712 +02:00 [WRN] Could not map BusinessDayTimerTransitionCondition correctly, mapped with TimeTransitionCondition instead
2025-05-22 12:46:19.712 +02:00 [WRN] Could not map DayTimeTimerTransitionCondition correctly, mapped with TimeTransitionCondition instead
2025-05-22 12:46:19.712 +02:00 [WRN] Could not map YearMonthTimerTransitionCondition correctly, mapped with TimeTransitionCondition instead
2025-05-22 12:46:19.712 +02:00 [WRN] Could not map AbstractSubject correctly, mapped with ALPSSIDComponent instead
2025-05-22 12:46:19.712 +02:00 [WRN] Could not map AbstractMultiSubject correctly, mapped with ALPSSIDComponent instead
2025-05-22 12:46:19.712 +02:00 [WRN] Could not map AbstractSingleSubject correctly, mapped with ALPSSIDComponent instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map BiDirectionalCommunicationChannel correctly, mapped with CommunicationChannel instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map UniDirectionalCommunicationChannel correctly, mapped with CommunicationChannel instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map FinalizedMessageExchange correctly, mapped with ALPSSIDComponent instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map StartSubject correctly, mapped with Subject instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map InputPoolConstraintHandlingStrategy correctly, mapped with InteractionDescribingComponent instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map DynamicSubjectExecutionMapping correctly, mapped with SubjectExecutionMapping instead
2025-05-22 12:46:19.713 +02:00 [WRN] Could not map StaticSubjectExecutionMapping correctly, mapped with SubjectExecutionMapping instead
2025-05-22 12:46:19.713 +02:00 [INF] Finished class mapping
2025-05-22 12:46:19.787 +02:00 [INF] Done reading the new File: C:\Users\oster\Source\Repos\PASS_Workflow_Engine\PASS_Workflow_Engine.Server\UploadFolder\Urlaubsantrag_Discord_Übung.owl
